,Dates,age,4th Dose,1st Dose,2nd Dose,3rd Dose,daily_doses
695,2022-04-21,40-44,21060,3274163,3162767,2420155,265
696,2022-04-21,45-49,29131,3223704,3141590,2563310,353
697,2022-04-21,50-54,44405,3663922,3593516,3112794,597
698,2022-04-21,55-59,59000,3702011,3644637,3272325,785
699,2022-04-21,60-64,69560,3266668,3224213,2975499,956
700,2022-04-21,65-69,81228,2763406,2731856,2578344,1161
701,2022-04-21,70-74,129287,2678933,2650563,2536874,3177
702,2022-04-21,75-79,886251,2269285,2242619,2147707,36635
703,2022-04-21,80+,1236532,3107255,3026171,2778730,42380
704,2022-04-22,05-11,0,0,0,0,0
705,2022-04-22,12-15,88,1584575,931404,10121,0
706,2022-04-22,16-17,681,901469,664409,155760,10
707,2022-04-22,18-24,6423,3672561,3339438,1884521,70
708,2022-04-22,25-29,7588,2990058,2790537,1709574,87
709,2022-04-22,30-34,11231,3307664,3120658,2047567,147
710,2022-04-22,35-39,15323,3309721,3162947,2238593,196
711,2022-04-22,40-44,21315,3274231,3162945,2421019,255
712,2022-04-22,45-49,29541,3223741,3141725,2563979,410
713,2022-04-22,50-54,44979,3663953,3593612,3113398,574
714,2022-04-22,55-59,59700,3702013,3644723,3272767,700
715,2022-04-22,60-64,70357,3266664,3224258,2975752,797
716,2022-04-22,65-69,82175,2763405,2731882,2578503,947
717,2022-04-22,70-74,132237,2678929,2650580,2536995,2950
718,2022-04-22,75-79,921218,2269291,2242654,2147969,34967
719,2022-04-22,80+,1275055,3107267,3026241,2779208,38523
720,2022-04-23,05-11,0,0,0,0,0
721,2022-04-23,12-15,97,1586819,940323,10552,9
722,2022-04-23,16-17,693,901817,666366,158451,12
723,2022-04-23,18-24,6561,3673129,3340842,1887873,138
724,2022-04-23,25-29,7754,2990318,2791339,1711762,166
725,2022-04-23,30-34,11497,3307876,3121234,2049676,266
726,2022-04-23,35-39,15648,3309871,3163354,2240221,325
727,2022-04-23,40-44,21775,3274322,3163146,2422233,460
728,2022-04-23,45-49,30219,3223823,3141889,2564954,678
729,2022-04-23,50-54,46086,3663980,3593726,3114158,1107
730,2022-04-23,55-59,61089,3702035,3644811,3273345,1389
731,2022-04-23,60-64,71938,3266678,3224318,2976044,1581
732,2022-04-23,65-69,83950,2763416,2731911,2578673,1775
733,2022-04-23,70-74,137919,2678935,2650605,2537099,5682
734,2022-04-23,75-79,984598,2269312,2242701,2148321,63380
735,2022-04-23,80+,1341258,3107282,3026293,2779726,66203
736,2022-04-24,05-11,0,0,0,0,0
737,2022-04-24,12-15,99,1587805,944409,10702,2
738,2022-04-24,16-17,700,901998,667257,159795,7
739,2022-04-24,18-24,6599,3673376,3341467,1889498,38
740,2022-04-24,25-29,7796,2990495,2791707,1712817,42
741,2022-04-24,30-34,11572,3307994,3121555,2050629,75
742,2022-04-24,35-39,15741,3309943,3163539,2240936,93
743,2022-04-24,40-44,21929,3274364,3163234,2422794,154
744,2022-04-24,45-49,30426,3223847,3141941,2565362,207
745,2022-04-24,50-54,46393,3664004,3593774,3114494,307
746,2022-04-24,55-59,61513,3702046,3644856,3273593,424
747,2022-04-24,60-64,72432,3266690,3224339,2976166,494
748,2022-04-24,65-69,84449,2763422,2731923,2578732,499
749,2022-04-24,70-74,139347,2678933,2650612,2537144,1428
750,2022-04-24,75-79,1001848,2269321,2242720,2148418,17250
751,2022-04-24,80+,1358705,3107280,3026310,2779872,17447
752,2022-04-25,05-11,0,0,0,0,0
753,2022-04-25,12-15,101,1588520,946937,101,2
754,2022-04-25,16-17,708,902218,668080,708,8
755,2022-04-25,18-24,6659,3673820,3342476,6659,60
756,2022-04-25,25-29,7860,2990716,2792292,7860,64
757,2022-04-25,30-34,11680,3308158,3122087,11680,108
758,2022-04-25,35-39,15883,3310049,3163853,15883,142
759,2022-04-25,40-44,22127,3274425,3163412,22127,198
760,2022-04-25,45-49,30680,3223892,3142054,30680,254
761,2022-04-25,50-54,46805,3664035,3593848,46805,412
762,2022-04-25,55-59,62076,3702062,3644919,62076,563
763,2022-04-25,60-64,73114,3266696,3224381,73114,682
764,2022-04-25,65-69,85275,2763418,2731939,85275,826
765,2022-04-25,70-74,141788,2678934,2650625,141788,2441
766,2022-04-25,75-79,1029683,2269336,2242750,1029683,27835
767,2022-04-25,80+,1391110,3107292,3026353,1391110,32405
768,2022-04-26,05-11,0,0,0,0,0
769,2022-04-26,12-15,101,1589355,950138,10880,0
770,2022-04-26,16-17,714,902460,668972,161763,6
771,2022-04-26,18-24,6726,3674202,3343473,1894182,67
772,2022-04-26,25-29,7973,2990924,2792898,1716164,113
773,2022-04-26,30-34,11824,3308311,3122536,2053780,144
774,2022-04-26,35-39,16072,3310163,3164155,2243374,189
775,2022-04-26,40-44,22371,3274481,3163586,2424480,244
776,2022-04-26,45-49,30998,3223928,3142179,2566698,318
777,2022-04-26,50-54,47308,3664057,3593933,3115638,503
778,2022-04-26,55-59,62794,3702084,3644979,3274434,718
779,2022-04-26,60-64,73993,3266706,3224420,2976668,879
780,2022-04-26,65-69,86397,2763413,2731959,2579074,1122
781,2022-04-26,70-74,145153,2678936,2650634,2537431,3365
782,2022-04-26,75-79,1064296,2269348,2242782,2148912,34613
783,2022-04-26,80+,1430316,3107302,3026421,2780891,39206
784,2022-04-27,05-11,-,261621,221,25,0
785,2022-04-27,12-15,102,1590226,953027,10992,1
786,2022-04-27,16-17,724,902699,669892,163047,10
787,2022-04-27,18-24,6807,3674646,3344501,1896887,81
788,2022-04-27,25-29,8080,2991153,2793511,1718008,107
789,2022-04-27,30-34,11979,3308495,3123004,2055507,155
790,2022-04-27,35-39,16291,3310261,3164451,2244792,219
791,2022-04-27,40-44,22688,3274542,3163757,2425395,317
792,2022-04-27,45-49,31441,3223982,3142321,2567437,443
793,2022-04-27,50-54,47941,3664086,3594030,3116226,633
794,2022-04-27,55-59,63666,3702102,3645029,3274934,872
795,2022-04-27,60-64,74999,3266722,3224459,2976989,1006
796,2022-04-27,65-69,87581,2763422,2731987,2579271,1184
797,2022-04-27,70-74,148893,2678943,2650653,2537591,3740
798,2022-04-27,75-79,1101649,2269360,2242815,2149205,37353
799,2022-04-27,80+,1472641,3107320,3026480,2781595,42325
